Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Associate Consultant ,Sysnet-Global-Technologies,4-21yrs  ,"3,32,852",1.6,5.5,3.7,63
Senior Process Associate ,Sysnet-Global-Technologies,0-11yrs  ,"3,80,506",1.3,7.0,3.7,63
Software Engineer ,Sysnet-Global-Technologies,0-8yrs  ,"1,93,745",1.0,3.2,3.7,63
Process Associate ,Sysnet-Global-Technologies,0-9yrs  ,"1,95,742",1.0,3.0,3.7,63
Software Developer ,Sysnet-Global-Technologies,0-9yrs  ,"2,64,308",1.5,4.3,3.7,63
System Engineer Hardware ,Sysnet-Global-Technologies,0-6yrs  ,"2,67,948",1.2,4.5,3.7,63
System Engineer ,Sharekhan,0-10yrs  ,"2,67,061",95.0,3.7,3.7,63
IT Analyst ,Sharekhan,3-11yrs  ,"3,40,378",1.0,6.0,3.7,63
AST Consultant ,Sharekhan,6-15yrs  ,"2,93,069",1.5,4.2,3.7,63
Assistant System Engineer ,Sharekhan,0-4yrs  ,"2,80,690",1.6,4.2,3.7,63
Associate Consultant ,Sharekhan,4-21yrs  ,"2,68,733",1.5,4.0,3.7,63
Senior Process Associate ,Sharekhan,0-11yrs  ,"4,27,488",1.7,10.4,3.7,63
Software Engineer ,Sharekhan,0-8yrs  ,"2,22,375",1.1,4.0,3.7,63
Process Associate ,Sharekhan,0-9yrs  ,"5,96,657",3.5,10.0,3.7,63
Software Developer ,Sharekhan,0-9yrs  ,"8,04,717",2.0,11.6,3.7,63
System Engineer Hardware ,Sharekhan,0-6yrs  ,"2,45,789",1.4,3.5,3.7,63
System Engineer ,Aptara,0-10yrs  ,"3,60,506",2.0,5.0,3.7,63
IT Analyst ,Aptara,3-11yrs  ,"3,22,080",1.8,4.8,3.7,63
AST Consultant ,Aptara,6-15yrs  ,"3,76,197",1.5,7.6,3.7,63
Assistant System Engineer ,Aptara,0-4yrs  ,"2,73,596",1.1,4.0,3.7,63
Associate Consultant ,Aptara,4-21yrs  ,"5,36,416",2.0,12.0,3.7,63
Senior Process Associate ,Aptara,0-11yrs  ,"3,64,345",2.3,5.0,3.7,63
Software Engineer ,Aptara,0-8yrs  ,"3,18,100",1.6,4.5,3.7,63
Process Associate ,Aptara,0-9yrs  ,"2,96,111",1.2,4.0,3.7,63
Software Developer ,Aptara,0-9yrs  ,"3,03,313",1.2,5.8,3.7,63
System Engineer Hardware ,Aptara,0-6yrs  ,"2,76,181",1.3,4.0,3.7,63
System Engineer ,GMR-Group,0-10yrs  ,"6,13,480",3.5,12.0,3.7,63
IT Analyst ,GMR-Group,3-11yrs  ,"5,98,772",4.0,7.9,3.7,63
AST Consultant ,GMR-Group,6-15yrs  ,"4,51,906",2.6,6.4,3.7,63
Assistant System Engineer ,GMR-Group,0-4yrs  ,"5,45,324",3.3,7.0,3.7,63
Associate Consultant ,GMR-Group,4-21yrs  ,"2,94,285",2.0,4.0,3.7,63
Senior Process Associate ,GMR-Group,0-11yrs  ,"2,82,468",2.6,3.6,3.7,63
Software Engineer ,GMR-Group,0-8yrs  ,"39,24,394",27.0,51.0,3.7,63
Process Associate ,GMR-Group,0-9yrs  ,"23,41,501",13.0,35.5,3.7,63
Software Developer ,GMR-Group,0-9yrs  ,"14,05,046",9.0,16.0,3.7,63
System Engineer Hardware ,GMR-Group,0-6yrs  ,"8,39,799",3.0,13.0,3.7,63
System Engineer ,FirstCry,0-10yrs  ,"3,59,223",1.2,6.7,3.7,63
IT Analyst ,FirstCry,3-11yrs  ,"5,25,958",2.0,10.8,3.7,63
AST Consultant ,FirstCry,6-15yrs  ,"2,83,656",1.9,3.8,3.7,63
Assistant System Engineer ,FirstCry,0-4yrs  ,"3,11,641",72.0,8.3,3.7,63
Associate Consultant ,FirstCry,4-21yrs  ,"2,82,197",1.5,4.0,3.7,63
Senior Process Associate ,FirstCry,0-11yrs  ,"3,68,465",2.6,4.6,3.7,63
Software Engineer ,FirstCry,0-8yrs  ,"4,38,511",1.7,13.3,3.7,63
Process Associate ,FirstCry,0-9yrs  ,"2,77,952",1.7,4.0,3.7,63
Software Developer ,FirstCry,0-9yrs  ,"3,28,192",1.6,5.6,3.7,63
System Engineer Hardware ,FirstCry,0-6yrs  ,"2,34,752",1.2,4.1,3.7,63
System Engineer ,Supreme-Industries,0-10yrs  ,"2,82,474",1.5,5.0,3.7,63
IT Analyst ,Supreme-Industries,3-11yrs  ,"4,83,803",3.0,6.0,3.7,63
AST Consultant ,Supreme-Industries,6-15yrs  ,"3,11,829",1.9,4.5,3.7,63
Assistant System Engineer ,Supreme-Industries,0-4yrs  ,"2,87,502",1.9,4.4,3.7,63
Associate Consultant ,Supreme-Industries,4-21yrs  ,"3,06,495",1.1,5.0,3.7,63
Senior Process Associate ,Supreme-Industries,0-11yrs  ,"4,26,436",2.5,5.6,3.7,63
Software Engineer ,Supreme-Industries,0-8yrs  ,"4,90,876",3.4,6.5,3.7,63
Process Associate ,Supreme-Industries,0-9yrs  ,"2,63,639",1.4,4.0,3.7,63
Software Developer ,Supreme-Industries,0-9yrs  ,"2,98,958",1.2,5.5,3.7,63
System Engineer Hardware ,Supreme-Industries,0-6yrs  ,"2,52,927",1.7,3.1,3.7,63
System Engineer ,Evalueserve,0-10yrs  ,"11,05,546",4.7,19.2,3.7,63
IT Analyst ,Evalueserve,3-11yrs  ,"7,20,023",3.0,11.0,3.7,63
AST Consultant ,Evalueserve,6-15yrs  ,"15,84,493",8.5,24.2,3.7,63
Assistant System Engineer ,Evalueserve,0-4yrs  ,"10,73,467",5.0,17.0,3.7,63
Associate Consultant ,Evalueserve,4-21yrs  ,"11,93,298",6.0,28.0,3.7,63
Senior Process Associate ,Evalueserve,0-11yrs  ,"24,25,299",11.8,35.2,3.7,63
Software Engineer ,Evalueserve,0-8yrs  ,"7,43,212",3.0,10.0,3.7,63
Process Associate ,Evalueserve,0-9yrs  ,"7,53,482",3.8,10.0,3.7,63
Software Developer ,Evalueserve,0-9yrs  ,"15,63,650",6.3,24.0,3.7,63
System Engineer Hardware ,Evalueserve,0-6yrs  ,"6,91,421",4.0,9.0,3.7,63
System Engineer ,Iris-Software,0-10yrs  ,"22,40,232",8.6,30.0,3.7,63
IT Analyst ,Iris-Software,3-11yrs  ,"19,11,633",8.0,31.0,3.7,63
AST Consultant ,Iris-Software,6-15yrs  ,"13,83,873",6.0,20.0,3.7,63
Assistant System Engineer ,Iris-Software,0-4yrs  ,"22,24,837",11.0,30.0,3.7,63
Associate Consultant ,Iris-Software,4-21yrs  ,"20,72,667",10.0,30.0,3.7,63
Senior Process Associate ,Iris-Software,0-11yrs  ,"22,07,210",11.2,29.0,3.7,63
Software Engineer ,Iris-Software,0-8yrs  ,"27,03,447",12.3,34.0,3.7,63
Process Associate ,Iris-Software,0-9yrs  ,"19,81,446",9.0,28.5,3.7,63
Software Developer ,Iris-Software,0-9yrs  ,"12,89,764",4.2,19.0,3.7,63
System Engineer Hardware ,Iris-Software,0-6yrs  ,"20,59,382",14.0,28.0,3.7,63
System Engineer ,Vfs-Global-Services,0-10yrs  ,"2,91,948",80.0,5.4,3.7,63
IT Analyst ,Vfs-Global-Services,3-11yrs  ,"2,82,782",20.0,4.0,3.7,63
AST Consultant ,Vfs-Global-Services,6-15yrs  ,"5,81,552",2.1,8.3,3.7,63
Assistant System Engineer ,Vfs-Global-Services,0-4yrs  ,"2,95,768",1.5,4.0,3.7,63
Associate Consultant ,Vfs-Global-Services,4-21yrs  ,"2,85,059",1.2,4.0,3.7,63
Senior Process Associate ,Vfs-Global-Services,0-11yrs  ,"2,82,423",20.0,4.5,3.7,63
Software Engineer ,Vfs-Global-Services,0-8yrs  ,"2,68,064",1.0,5.5,3.7,63
Process Associate ,Vfs-Global-Services,0-9yrs  ,"2,92,715",1.5,4.5,3.7,63
Software Developer ,Vfs-Global-Services,0-9yrs  ,"3,97,811",2.4,6.0,3.7,63
System Engineer Hardware ,Vfs-Global-Services,0-6yrs  ,"8,49,663",3.2,14.4,3.7,63
System Engineer ,Sanofi,0-10yrs  ,"5,64,667",3.3,8.7,3.7,63
IT Analyst ,Sanofi,3-11yrs  ,"7,17,516",5.1,9.3,3.7,63
AST Consultant ,Sanofi,6-15yrs  ,"6,21,120",3.9,8.4,3.7,63
Assistant System Engineer ,Sanofi,0-4yrs  ,"3,97,811",2.4,5.7,3.7,63
Associate Consultant ,Sanofi,4-21yrs  ,"13,73,336",10.0,16.8,3.7,63
Senior Process Associate ,Sanofi,0-11yrs  ,"7,01,994",5.1,8.8,3.7,63
Software Engineer ,Sanofi,0-8yrs  ,"3,05,631",2.0,4.0,3.7,63
Process Associate ,Sanofi,0-9yrs  ,"1,79,529",20.0,4.5,3.7,63
Software Developer ,Sanofi,0-9yrs  ,"3,33,366",2.4,5.0,3.7,63
System Engineer Hardware ,Sanofi,0-6yrs  ,"6,11,576",4.5,7.5,3.7,63
System Engineer ,Jindal-X,0-10yrs  ,"2,25,453",1.5,3.5,3.7,63
IT Analyst ,Jindal-X,3-11yrs  ,"2,51,165",1.2,4.5,3.7,63
AST Consultant ,Jindal-X,6-15yrs  ,"2,17,315",1.1,4.5,3.7,63
Assistant System Engineer ,Jindal-X,0-4yrs  ,"2,37,724",1.5,3.2,3.7,63
Associate Consultant ,Jindal-X,4-21yrs  ,"2,72,300",1.8,3.5,3.7,63
Senior Process Associate ,Jindal-X,0-11yrs  ,"3,01,609",1.8,4.0,3.7,63
Software Engineer ,Jindal-X,0-8yrs  ,"4,02,307",2.1,6.6,3.7,63
Process Associate ,Jindal-X,0-9yrs  ,"2,34,518",1.8,4.2,3.7,63
Software Developer ,Jindal-X,0-9yrs  ,"3,80,549",2.5,5.0,3.7,63
System Engineer Hardware ,Jindal-X,0-6yrs  ,"2,45,971",2.0,3.5,3.7,63
System Engineer ,Amity-University,0-10yrs  ,"7,15,755",1.3,14.0,3.7,63
IT Analyst ,Amity-University,3-11yrs  ,"4,11,685",1.0,6.5,3.7,63
AST Consultant ,Amity-University,6-15yrs  ,"11,75,931",6.0,20.0,3.7,63
Assistant System Engineer ,Amity-University,0-4yrs  ,"3,53,983",2.1,5.4,3.7,63
Associate Consultant ,Amity-University,4-21yrs  ,"4,93,298",1.3,8.5,3.7,63
Senior Process Associate ,Amity-University,0-11yrs  ,"3,35,209",2.0,6.1,3.7,63
Software Engineer ,Amity-University,0-8yrs  ,"2,78,502",1.2,4.2,3.7,63
Process Associate ,Amity-University,0-9yrs  ,"5,94,582",4.0,7.2,3.7,63
Software Developer ,Amity-University,0-9yrs  ,"3,81,068",3.0,5.2,3.7,63
System Engineer Hardware ,Amity-University,0-6yrs  ,"2,85,744",1.1,4.3,3.7,63
System Engineer ,Granules-India,0-10yrs  ,"3,44,258",1.8,5.3,3.7,63
IT Analyst ,Granules-India,3-11yrs  ,"2,60,213",1.6,4.6,3.7,63
AST Consultant ,Granules-India,6-15yrs  ,"3,50,488",1.7,5.5,3.7,63
Assistant System Engineer ,Granules-India,0-4yrs  ,"11,49,839",7.5,16.0,3.7,63
Associate Consultant ,Granules-India,4-21yrs  ,"3,05,013",1.8,4.6,3.7,63
Senior Process Associate ,Granules-India,0-11yrs  ,"4,57,194",2.6,6.1,3.7,63
Software Engineer ,Granules-India,0-8yrs  ,"2,66,007",1.7,4.1,3.7,63
Process Associate ,Granules-India,0-9yrs  ,"2,07,075",1.4,2.9,3.7,63
Software Developer ,Granules-India,0-9yrs  ,"4,07,959",2.8,5.5,3.7,63
System Engineer Hardware ,Granules-India,0-6yrs  ,"4,08,387",2.7,4.8,3.7,63
System Engineer ,Polycab-Wires,0-10yrs  ,"9,70,287",4.3,15.0,3.7,63
IT Analyst ,Polycab-Wires,3-11yrs  ,"3,21,225",1.7,5.2,3.7,63
AST Consultant ,Polycab-Wires,6-15yrs  ,"3,09,290",2.3,4.0,3.7,63
Assistant System Engineer ,Polycab-Wires,0-4yrs  ,"3,32,027",1.7,4.8,3.7,63
Associate Consultant ,Polycab-Wires,4-21yrs  ,"4,77,338",2.3,6.5,3.7,63
Senior Process Associate ,Polycab-Wires,0-11yrs  ,"4,67,181",3.0,6.2,3.7,63
Software Engineer ,Polycab-Wires,0-8yrs  ,"11,68,802",6.5,15.5,3.7,63
Process Associate ,Polycab-Wires,0-9yrs  ,"4,94,386",3.8,7.0,3.7,63
Software Developer ,Polycab-Wires,0-9yrs  ,"2,38,157",1.5,3.5,3.7,63
System Engineer Hardware ,Polycab-Wires,0-6yrs  ,"2,18,131",1.5,3.4,3.7,63
System Engineer ,Spicejet,0-10yrs  ,"3,05,174",1.2,5.3,3.7,63
IT Analyst ,Spicejet,3-11yrs  ,"3,04,471",1.8,4.0,3.7,63
AST Consultant ,Spicejet,6-15yrs  ,"6,16,649",30.0,10.0,3.7,63
Assistant System Engineer ,Spicejet,0-4yrs  ,"2,69,116",1.1,4.5,3.7,63
Associate Consultant ,Spicejet,4-21yrs  ,"5,31,028",2.5,8.0,3.7,63
Senior Process Associate ,Spicejet,0-11yrs  ,"2,85,177",2.0,3.5,3.7,63
Software Engineer ,Spicejet,0-8yrs  ,"5,93,209",3.0,9.5,3.7,63
Process Associate ,Spicejet,0-9yrs  ,"3,92,339",2.5,4.5,3.7,63
Software Developer ,Spicejet,0-9yrs  ,"3,55,778",2.2,4.5,3.7,63
System Engineer Hardware ,Spicejet,0-6yrs  ,"2,78,525",1.0,3.8,3.7,63
System Engineer ,Aye-Finance,0-10yrs  ,"2,54,027",1.5,3.7,3.7,63
IT Analyst ,Aye-Finance,3-11yrs  ,"2,96,382",2.0,4.0,3.7,63
AST Consultant ,Aye-Finance,6-15yrs  ,"5,50,886",3.3,7.5,3.7,63
Assistant System Engineer ,Aye-Finance,0-4yrs  ,"2,82,738",2.1,3.7,3.7,63
Associate Consultant ,Aye-Finance,4-21yrs  ,"4,01,391",3.0,5.4,3.7,63
Senior Process Associate ,Aye-Finance,0-11yrs  ,"2,65,461",1.4,3.5,3.7,63
Software Engineer ,Aye-Finance,0-8yrs  ,"2,75,544",1.7,3.5,3.7,63
Process Associate ,Aye-Finance,0-9yrs  ,"2,42,407",1.8,3.3,3.7,63
Software Developer ,Aye-Finance,0-9yrs  ,"2,19,935",1.5,2.9,3.7,63
System Engineer Hardware ,Aye-Finance,0-6yrs  ,"3,37,877",2.3,5.3,3.7,63
System Engineer ,Godrej-Group,0-10yrs  ,"2,84,475",1.1,6.1,3.7,63
IT Analyst ,Godrej-Group,3-11yrs  ,"9,05,677",7.2,11.8,3.7,63
AST Consultant ,Godrej-Group,6-15yrs  ,"6,18,517",1.0,13.5,3.7,63
Assistant System Engineer ,Godrej-Group,0-4yrs  ,"3,50,167",1.9,5.1,3.7,63
Associate Consultant ,Godrej-Group,4-21yrs  ,"3,41,077",2.4,4.2,3.7,63
Senior Process Associate ,Godrej-Group,0-11yrs  ,"8,92,059",4.6,17.9,3.7,63
Software Engineer ,Godrej-Group,0-8yrs  ,"5,10,250",3.2,7.2,3.7,63
Process Associate ,Godrej-Group,0-9yrs  ,"3,35,800",1.5,6.0,3.7,63
Software Developer ,Godrej-Group,0-9yrs  ,"3,04,500",30.0,6.0,3.7,63
System Engineer Hardware ,Godrej-Group,0-6yrs  ,"15,91,562",5.9,30.0,3.7,63
System Engineer ,The-Jaypee-Group,0-10yrs  ,"4,54,087",1.9,6.0,3.7,63
IT Analyst ,The-Jaypee-Group,3-11yrs  ,"5,98,808",4.6,7.5,3.7,63
AST Consultant ,The-Jaypee-Group,6-15yrs  ,"7,14,716",4.8,9.1,3.7,63
Assistant System Engineer ,The-Jaypee-Group,0-4yrs  ,"7,10,198",5.0,10.4,3.7,63
Associate Consultant ,The-Jaypee-Group,4-21yrs  ,"16,68,599",8.5,24.0,3.7,63
Senior Process Associate ,The-Jaypee-Group,0-11yrs  ,"8,90,438",6.0,12.2,3.7,63
Software Engineer ,The-Jaypee-Group,0-8yrs  ,"18,91,546",12.0,25.0,3.7,63
Process Associate ,The-Jaypee-Group,0-9yrs  ,"3,97,782",2.7,5.3,3.7,63
Software Developer ,The-Jaypee-Group,0-9yrs  ,"4,98,429",3.0,6.6,3.7,63
System Engineer Hardware ,The-Jaypee-Group,0-6yrs  ,"4,21,923",2.2,5.5,3.7,63
System Engineer ,Saipem,0-10yrs  ,"17,50,962",9.2,25.0,3.7,63
IT Analyst ,Saipem,3-11yrs  ,"9,78,753",5.0,15.1,3.7,63
AST Consultant ,Saipem,6-15yrs  ,"11,20,542",6.3,14.5,3.7,63
Assistant System Engineer ,Saipem,0-4yrs  ,"21,49,063",15.0,28.5,3.7,63
Associate Consultant ,Saipem,4-21yrs  ,"9,84,241",3.5,27.0,3.7,63
Senior Process Associate ,Saipem,0-11yrs  ,"8,80,987",4.5,12.5,3.7,63
Software Engineer ,Saipem,0-8yrs  ,"6,56,143",4.2,11.5,3.7,63
Process Associate ,Saipem,0-9yrs  ,"28,02,161",22.0,35.0,3.7,63
Software Developer ,Saipem,0-9yrs  ,"14,88,690",5.0,36.0,3.7,63
System Engineer Hardware ,Saipem,0-6yrs  ,"16,01,888",10.0,20.0,3.7,63
System Engineer ,Northern-Trust-Operating-Services,0-10yrs  ,"6,96,383",3.5,10.3,3.7,63
IT Analyst ,Northern-Trust-Operating-Services,3-11yrs  ,"9,57,878",5.5,12.5,3.7,63
AST Consultant ,Northern-Trust-Operating-Services,6-15yrs  ,"4,67,433",1.9,8.9,3.7,63
Assistant System Engineer ,Northern-Trust-Operating-Services,0-4yrs  ,"3,78,301",1.8,7.7,3.7,63
Associate Consultant ,Northern-Trust-Operating-Services,4-21yrs  ,"6,86,693",4.0,9.0,3.7,63
Senior Process Associate ,Northern-Trust-Operating-Services,0-11yrs  ,"13,79,713",6.8,17.5,3.7,63
Software Engineer ,Northern-Trust-Operating-Services,0-8yrs  ,"15,33,125",4.1,24.0,3.7,63
Process Associate ,Northern-Trust-Operating-Services,0-9yrs  ,"24,49,651",13.3,35.0,3.7,63
Software Developer ,Northern-Trust-Operating-Services,0-9yrs  ,"18,77,885",12.1,24.6,3.7,63
System Engineer Hardware ,Northern-Trust-Operating-Services,0-6yrs  ,"12,10,349",8.0,14.5,3.7,63
System Engineer ,SYSKA-LED-Lights,0-10yrs  ,"4,46,986",2.5,6.7,3.7,63
IT Analyst ,SYSKA-LED-Lights,3-11yrs  ,"2,87,978",1.5,3.8,3.7,63
AST Consultant ,SYSKA-LED-Lights,6-15yrs  ,"7,60,862",4.7,11.5,3.7,63
Assistant System Engineer ,SYSKA-LED-Lights,0-4yrs  ,"2,94,526",1.8,4.0,3.7,63
Associate Consultant ,SYSKA-LED-Lights,4-21yrs  ,"14,36,800",11.7,17.5,3.7,63
Senior Process Associate ,SYSKA-LED-Lights,0-11yrs  ,"16,35,558",12.0,22.0,3.7,63
Software Engineer ,SYSKA-LED-Lights,0-8yrs  ,"3,05,677",2.0,4.2,3.7,63
Process Associate ,SYSKA-LED-Lights,0-9yrs  ,"20,21,916",12.6,28.9,3.7,63
Software Developer ,SYSKA-LED-Lights,0-9yrs  ,"2,44,310",1.7,3.8,3.7,63
System Engineer Hardware ,SYSKA-LED-Lights,0-6yrs  ,"5,84,681",2.6,13.8,3.7,63
System Engineer ,ITD-Cementation-India,0-10yrs  ,"7,29,553",3.6,12.0,3.7,63
IT Analyst ,ITD-Cementation-India,3-11yrs  ,"5,62,623",2.9,9.0,3.7,63
AST Consultant ,ITD-Cementation-India,6-15yrs  ,"12,82,991",7.5,17.0,3.7,63
Assistant System Engineer ,ITD-Cementation-India,0-4yrs  ,"3,78,957",2.3,5.1,3.7,63
Associate Consultant ,ITD-Cementation-India,4-21yrs  ,"4,18,605",1.8,6.5,3.7,63
Senior Process Associate ,ITD-Cementation-India,0-11yrs  ,"3,56,232",1.8,6.5,3.7,63
Software Engineer ,ITD-Cementation-India,0-8yrs  ,"4,08,457",2.4,7.0,3.7,63
Process Associate ,ITD-Cementation-India,0-9yrs  ,"3,38,584",2.6,4.0,3.7,63
Software Developer ,ITD-Cementation-India,0-9yrs  ,"22,72,303",19.0,30.0,3.7,63
System Engineer Hardware ,ITD-Cementation-India,0-6yrs  ,"4,15,333",2.6,6.0,3.7,63
System Engineer ,Compass-Group-Support-Services,0-10yrs  ,"3,53,274",1.8,4.6,3.7,63
IT Analyst ,Compass-Group-Support-Services,3-11yrs  ,"6,08,217",3.2,9.0,3.7,63
AST Consultant ,Compass-Group-Support-Services,6-15yrs  ,"7,23,945",3.5,10.5,3.7,63
Assistant System Engineer ,Compass-Group-Support-Services,0-4yrs  ,"5,35,041",3.0,7.1,3.7,63
Associate Consultant ,Compass-Group-Support-Services,4-21yrs  ,"3,40,994",1.8,5.0,3.7,63
Senior Process Associate ,Compass-Group-Support-Services,0-11yrs  ,"2,34,404",15.0,4.0,3.7,63
Software Engineer ,Compass-Group-Support-Services,0-8yrs  ,"11,33,345",6.0,17.0,3.7,63
Process Associate ,Compass-Group-Support-Services,0-9yrs  ,"8,86,501",5.4,13.1,3.7,63
Software Developer ,Compass-Group-Support-Services,0-9yrs  ,"11,86,114",7.2,17.1,3.7,63
System Engineer Hardware ,Compass-Group-Support-Services,0-6yrs  ,"3,14,432",1.8,4.0,3.7,63
System Engineer ,Adani-Group,0-10yrs  ,"12,27,947",6.0,19.5,3.7,63
IT Analyst ,Adani-Group,3-11yrs  ,"6,47,299",6.0,7.3,3.7,63
AST Consultant ,Adani-Group,6-15yrs  ,"6,96,330",3.8,10.0,3.7,63
Assistant System Engineer ,Adani-Group,0-4yrs  ,"10,66,754",5.3,15.0,3.7,63
Associate Consultant ,Adani-Group,4-21yrs  ,"5,61,809",4.0,8.5,3.7,63
Senior Process Associate ,Adani-Group,0-11yrs  ,"3,75,012",1.2,6.0,3.7,63
Software Engineer ,Adani-Group,0-8yrs  ,"3,88,308",1.2,8.1,3.7,63
Process Associate ,Adani-Group,0-9yrs  ,"3,98,920",2.4,7.3,3.7,63
Software Developer ,Adani-Group,0-9yrs  ,"32,81,007",22.0,41.0,3.7,63
System Engineer Hardware ,Adani-Group,0-6yrs  ,"50,54,750",35.0,73.0,3.7,63
System Engineer ,BVG-India,0-10yrs  ,"2,36,988",20.0,18.6,3.7,63
IT Analyst ,BVG-India,3-11yrs  ,"2,49,311",1.0,4.5,3.7,63
AST Consultant ,BVG-India,6-15yrs  ,"5,72,432",3.0,8.0,3.7,63
Assistant System Engineer ,BVG-India,0-4yrs  ,"2,01,223",80.0,3.6,3.7,63
Associate Consultant ,BVG-India,4-21yrs  ,"2,82,532",1.3,4.1,3.7,63
Senior Process Associate ,BVG-India,0-11yrs  ,"5,11,368",2.1,7.0,3.7,63
Software Engineer ,BVG-India,0-8yrs  ,"2,45,998",1.1,4.2,3.7,63
Process Associate ,BVG-India,0-9yrs  ,"3,10,001",1.4,4.0,3.7,63
Software Developer ,BVG-India,0-9yrs  ,"3,31,364",2.0,5.6,3.7,63
System Engineer Hardware ,BVG-India,0-6yrs  ,"2,98,967",2.2,3.6,3.7,63
System Engineer ,Punj-Lloyd,0-10yrs  ,"9,86,795",6.0,18.0,3.7,63
IT Analyst ,Punj-Lloyd,3-11yrs  ,"7,00,125",3.3,14.0,3.7,63
AST Consultant ,Punj-Lloyd,6-15yrs  ,"3,98,811",2.4,8.5,3.7,63
Assistant System Engineer ,Punj-Lloyd,0-4yrs  ,"3,70,455",2.3,7.3,3.7,63
Associate Consultant ,Punj-Lloyd,4-21yrs  ,"3,03,018",2.0,4.1,3.7,63
Senior Process Associate ,Punj-Lloyd,0-11yrs  ,"4,58,127",2.4,7.0,3.7,63
Software Engineer ,Punj-Lloyd,0-8yrs  ,"3,04,908",2.4,3.9,3.7,63
Process Associate ,Punj-Lloyd,0-9yrs  ,"3,53,532",1.8,7.2,3.7,63
Software Developer ,Punj-Lloyd,0-9yrs  ,"3,63,663",2.2,6.0,3.7,63
System Engineer Hardware ,Punj-Lloyd,0-6yrs  ,"3,57,917",3.0,4.5,3.7,63
System Engineer ,Atul,0-10yrs  ,"13,44,269",6.5,18.5,3.7,63
IT Analyst ,Atul,3-11yrs  ,"9,07,190",5.0,14.8,3.7,63
AST Consultant ,Atul,6-15yrs  ,"4,44,631",2.4,6.0,3.7,63
Assistant System Engineer ,Atul,0-4yrs  ,"8,97,198",4.7,12.6,3.7,63
Associate Consultant ,Atul,4-21yrs  ,"6,41,236",3.5,8.5,3.7,63
Senior Process Associate ,Atul,0-11yrs  ,"1,99,645",1.2,2.9,3.7,63
Software Engineer ,Atul,0-8yrs  ,"4,42,729",3.0,6.5,3.7,63
Process Associate ,Atul,0-9yrs  ,"5,64,702",3.1,8.0,3.7,63
Software Developer ,Atul,0-9yrs  ,"4,53,993",2.8,6.8,3.7,63
System Engineer Hardware ,Atul,0-6yrs  ,"19,56,767",10.0,29.5,3.7,63
System Engineer ,Fidelity-National-Financial,0-10yrs  ,"3,14,945",1.4,5.3,3.7,63
IT Analyst ,Fidelity-National-Financial,3-11yrs  ,"3,89,334",2.0,6.1,3.7,63
AST Consultant ,Fidelity-National-Financial,6-15yrs  ,"3,21,908",1.8,4.5,3.7,63
Assistant System Engineer ,Fidelity-National-Financial,0-4yrs  ,"2,99,846",1.2,4.5,3.7,63
Associate Consultant ,Fidelity-National-Financial,4-21yrs  ,"15,80,940",8.2,23.0,3.7,63
Senior Process Associate ,Fidelity-National-Financial,0-11yrs  ,"3,72,345",2.4,5.0,3.7,63
Software Engineer ,Fidelity-National-Financial,0-8yrs  ,"4,04,459",1.8,5.2,3.7,63
Process Associate ,Fidelity-National-Financial,0-9yrs  ,"3,84,005",2.4,5.1,3.7,63
Software Developer ,Fidelity-National-Financial,0-9yrs  ,"7,21,042",3.7,13.0,3.7,63
System Engineer Hardware ,Fidelity-National-Financial,0-6yrs  ,"7,68,495",4.2,11.7,3.7,63
System Engineer ,Vestas,0-10yrs  ,"8,07,982",4.4,12.0,3.7,63
IT Analyst ,Vestas,3-11yrs  ,"13,48,837",8.8,18.0,3.7,63
AST Consultant ,Vestas,6-15yrs  ,"6,19,840",3.3,9.1,3.7,63
Assistant System Engineer ,Vestas,0-4yrs  ,"18,62,233",11.0,25.0,3.7,63
Associate Consultant ,Vestas,4-21yrs  ,"6,10,382",2.7,9.8,3.7,63
Senior Process Associate ,Vestas,0-11yrs  ,"2,94,537",1.7,4.5,3.7,63
Software Engineer ,Vestas,0-8yrs  ,"2,38,637",1.3,4.1,3.7,63
Process Associate ,Vestas,0-9yrs  ,"11,58,751",2.5,23.5,3.7,63
Software Developer ,Vestas,0-9yrs  ,"1,87,236",10.0,4.0,3.7,63
System Engineer Hardware ,Vestas,0-6yrs  ,"8,01,270",6.3,11.1,3.7,63
System Engineer ,Devyani-International,0-10yrs  ,"2,27,781",1.0,3.8,3.7,63
IT Analyst ,Devyani-International,3-11yrs  ,"4,15,633",2.6,5.9,3.7,63
AST Consultant ,Devyani-International,6-15yrs  ,"5,05,925",3.3,6.8,3.7,63
Assistant System Engineer ,Devyani-International,0-4yrs  ,"3,34,716",1.7,5.5,3.7,63
Associate Consultant ,Devyani-International,4-21yrs  ,"7,92,223",5.6,10.8,3.7,63
Senior Process Associate ,Devyani-International,0-11yrs  ,"1,64,996",60.0,5.0,3.7,63
Software Engineer ,Devyani-International,0-8yrs  ,"1,49,408",10.0,2.6,3.7,63
Process Associate ,Devyani-International,0-9yrs  ,"7,93,404",5.0,9.8,3.7,63
Software Developer ,Devyani-International,0-9yrs  ,"13,02,709",8.5,18.1,3.7,63
System Engineer Hardware ,Devyani-International,0-6yrs  ,"1,11,792",10.0,1.9,3.7,63
System Engineer ,Fino-Payments-Bank,0-10yrs  ,"3,13,314",1.6,4.2,3.7,63
IT Analyst ,Fino-Payments-Bank,3-11yrs  ,"2,13,104",1.1,3.5,3.7,63
